="",="(1)",="(2)",="(3)"
="",="Electricity in Job (Direct)",="Electricity in Job (Direct)",="Electricity in Job (Direct)"
="",="b/se",="b/se",="b/se"
="Birth Parish (Treated)",="0.004***",="0.004***",="0.004***"
="",="(0.00)",="(0.00)",="(0.00)"
="Age",="",="0.000**",="0.000*"
="",="",="(0.00)",="(0.00)"
="Age Squared",="",="-0.000",="-0.000"
="",="",="(0.00)",="(0.00)"
="Female (1 = Yes 0 = No)",="",="-0.007***",="-0.007***"
="",="",="(0.00)",="(0.00)"
="Divorced",="",="",="0.000"
="",="",="",="(.)"
="Married",="",="",="-0.000"
="",="",="",="(0.00)"
="Other",="",="",="-0.006*"
="",="",="",="(0.00)"
="Unmarried",="",="",="-0.003"
="",="",="",="(0.00)"
="Widow/Widower",="",="",="-0.002"
="",="",="",="(0.00)"
="Literate",="",="",="0.000"
="",="",="",="(.)"
="Post primary schooling",="",="",="0.009***"
="",="",="",="(0.00)"
="Post-secondary and university",="",="",="-0.001*"
="",="",="",="(0.00)"
="Primary school",="",="",="0.006***"
="",="",="",="(0.00)"
="Constant",="0.005***",="-0.002",="-0.004"
="",="(0.00)",="(0.00)",="(0.00)"
="R-squared",="0.00",="0.00",="0.00"
="Observations",="484516",="484516",="484516"
="F-stat",="62.349",="627.694",="230.125"
="Mean Dependent Var",="0.01",="0.01",="0.01"
="Robust standard errors in parentheses"
