="",="(1)",="(2)",="(3)"
="",="Electricity in Job (Indirect)",="Electricity in Job (Indirect)",="Electricity in Job (Indirect)"
="",="b/se",="b/se",="b/se"
="Birth Parish (Treated)",="0.031***",="0.031***",="0.032***"
="",="(0.00)",="(0.00)",="(0.00)"
="Age",="",="0.003***",="0.005***"
="",="",="(0.00)",="(0.00)"
="Age Squared",="",="-0.000***",="-0.000***"
="",="",="(0.00)",="(0.00)"
="Female (1 = Yes 0 = No)",="",="-0.049***",="-0.037***"
="",="",="(0.00)",="(0.00)"
="Divorced",="",="",="0.000"
="",="",="",="(.)"
="Married",="",="",="0.018*"
="",="",="",="(0.01)"
="Other",="",="",="0.353"
="",="",="",="(0.33)"
="Unmarried",="",="",="-0.027**"
="",="",="",="(0.01)"
="Widow/Widower",="",="",="-0.014"
="",="",="",="(0.01)"
="Literate",="",="",="0.000"
="",="",="",="(.)"
="Post primary schooling",="",="",="-0.099***"
="",="",="",="(0.03)"
="Post-secondary and university",="",="",="-0.121***"
="",="",="",="(0.03)"
="Primary school",="",="",="-0.019"
="",="",="",="(0.03)"
="Constant",="0.130***",="0.118***",="0.159***"
="",="(0.00)",="(0.01)",="(0.03)"
="R-squared",="0.00",="0.01",="0.01"
="Observations",="484516",="484516",="484516"
="F-stat",="219.165",="704.022",="933.686"
="Mean Dependent Var",="0.13",="0.13",="0.13"
="Robust standard errors in parentheses"
