="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)"
="",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="Birth Parish (Treated)",="0.629***",="0.394***",="0.390***",="0.390***",="0.213**",="0.118",="0.402***",="0.183**",="0.204***",="0.124*",="0.128*",="-0.088",="0.269***",="0.251***",="0.245***",="0.139*",="0.107",="0.145*",="0.328***",="0.248***",="0.172*",="0.330***",="0.309***",="0.272***",="0.382***"
="",="(0.10)",="(0.09)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.05)",="(0.06)",="(0.06)",="(0.06)",="(0.07)",="(0.07)",="(0.06)",="(0.07)",="(0.07)",="(0.06)",="(0.06)",="(0.07)",="(0.07)"
="Female (1 = Yes 0 = No)",="-1.233***",="-0.907***",="-0.969***",="-0.969***",="-0.848***",="-0.995***",="-0.236***",="-0.832***",="-1.049***",="-1.013***",="-1.170***",="-1.134***",="-1.204***",="-1.295***",="-1.410***",="-1.374***",="-1.469***",="-1.638***",="-1.731***",="-1.736***",="-1.584***",="-1.871***",="-1.762***",="-1.647***",="-1.737***"
="",="(0.06)",="(0.05)",="(0.05)",="(0.05)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.05)",="(0.05)",="(0.05)",="(0.05)",="(0.06)",="(0.06)",="(0.06)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.08)",="(0.08)"
="Unmarried",="0.000",="-0.643***",="2.790**",="2.790**",="2.408***",="-1.511***",="4.520***",="1.063",="-0.454",="2.855***",="-0.697",="0.860",="-0.360",="0.172",="1.606***",="1.033*",="-0.129",="0.294",="0.588",="0.237",="0.760**",="-0.008",="0.295",="-0.212",="0.329"
="",="(.)",="(0.11)",="(0.86)",="(0.86)",="(0.47)",="(0.07)",="(0.05)",="(1.31)",="(0.64)",="(0.79)",="(0.53)",="(0.74)",="(0.52)",="(0.39)",="(0.48)",="(0.42)",="(0.28)",="(0.38)",="(0.36)",="(0.30)",="(0.28)",="(0.30)",="(0.29)",="(0.27)",="(0.29)"
="Literate",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
