="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)"
="",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="Birth Parish (Treated)",="0.629***",="0.394***",="0.390***",="0.213**",="0.118",="0.402***",="0.183**",="0.204***",="0.124*",="0.128*",="-0.088",="0.269***",="0.251***",="0.245***",="0.139*",="0.107",="0.145*",="0.328***",="0.248***",="0.172*",="0.330***",="0.309***",="0.272***",="0.382***",="0.340***",="0.413***",="0.201**",="0.286***",="0.216**",="0.206**",="0.120",="0.332***",="0.333***",="0.210**",="0.396***",="0.406***",="0.295***",="0.197*",="0.435***",="0.212*",="0.449***",="0.445***",="0.186*",="0.429***",="0.364***",="0.191",="0.507***",="0.436***",="0.561***",="0.602***",="0.587***",="0.518***",="0.670***",="0.386**"
="",="(0.10)",="(0.09)",="(0.07)",="(0.07)",="(0.07)",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.05)",="(0.06)",="(0.06)",="(0.06)",="(0.07)",="(0.07)",="(0.06)",="(0.07)",="(0.07)",="(0.06)",="(0.06)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.08)",="(0.07)",="(0.08)",="(0.08)",="(0.08)",="(0.09)",="(0.08)",="(0.09)",="(0.10)",="(0.09)",="(0.09)",="(0.11)",="(0.10)",="(0.11)",="(0.11)",="(0.11)",="(0.12)",="(0.11)",="(0.12)",="(0.12)",="(0.13)",="(0.15)"
="Female (1 = Yes 0 = No)",="-1.233***",="-0.907***",="-0.969***",="-0.848***",="-0.995***",="-0.236***",="-0.832***",="-1.049***",="-1.013***",="-1.170***",="-1.134***",="-1.204***",="-1.295***",="-1.410***",="-1.374***",="-1.469***",="-1.638***",="-1.731***",="-1.736***",="-1.584***",="-1.871***",="-1.762***",="-1.647***",="-1.737***",="-1.932***",="-2.042***",="-2.043***",="-2.390***",="-1.840***",="-2.116***",="-2.339***",="-2.007***",="-2.337***",="-2.330***",="-2.253***",="-2.397***",="-2.490***",="-2.397***",="-2.739***",="-2.557***",="-2.371***",="-2.689***",="-2.458***",="-2.607***",="-2.618***",="-2.359***",="-2.229***",="-2.522***",="-2.459***",="-1.903***",="-2.088***",="-2.108***",="-2.157***",="-1.992***"
="",="(0.06)",="(0.05)",="(0.05)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.05)",="(0.05)",="(0.05)",="(0.05)",="(0.06)",="(0.06)",="(0.06)",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.08)",="(0.08)",="(0.08)",="(0.08)",="(0.08)",="(0.08)",="(0.08)",="(0.08)",="(0.08)",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.10)",="(0.09)",="(0.09)",="(0.10)",="(0.11)",="(0.10)",="(0.10)",="(0.10)",="(0.10)",="(0.10)",="(0.10)",="(0.10)"
="Unmarried",="0.000",="-0.643***",="2.790**",="2.408***",="-1.511***",="4.520***",="1.063",="-0.454",="2.855***",="-0.697",="0.860",="-0.360",="0.172",="1.606***",="1.033*",="-0.129",="0.294",="0.588",="0.237",="0.760**",="-0.008",="0.295",="-0.212",="0.329",="0.221",="0.329",="-0.147",="0.772*",="0.462",="0.706*",="0.493",="-0.384",="0.231",="0.636",="0.172",="0.415",="1.045***",="0.728**",="0.075",="0.436",="0.904**",="0.362",="-0.555",="0.059",="0.529",="0.639",="1.094**",="0.394",="0.907*",="-0.249",="-0.273",="-0.431",="0.685",="1.012*"
="",="(.)",="(0.11)",="(0.86)",="(0.47)",="(0.07)",="(0.05)",="(1.31)",="(0.64)",="(0.79)",="(0.53)",="(0.74)",="(0.52)",="(0.39)",="(0.48)",="(0.42)",="(0.28)",="(0.38)",="(0.36)",="(0.30)",="(0.28)",="(0.30)",="(0.29)",="(0.27)",="(0.29)",="(0.31)",="(0.29)",="(0.28)",="(0.31)",="(0.32)",="(0.30)",="(0.29)",="(0.25)",="(0.32)",="(0.33)",="(0.28)",="(0.27)",="(0.29)",="(0.25)",="(0.29)",="(0.36)",="(0.33)",="(0.28)",="(0.35)",="(0.34)",="(0.34)",="(0.39)",="(0.39)",="(0.39)",="(0.36)",="(0.45)",="(0.47)",="(0.46)",="(0.38)",="(0.47)"
="Literate",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
